WKT,apartments
"POINT (83.091631 54.840422)","64"
"POINT (83.080635 54.862731)","8"
"POINT (83.103506 54.84457)","72"
"POINT (83.102617 54.843517)","76"
"POINT (83.101243 54.84373)","76"
"POINT (83.103012 54.842455)","92"
"POINT (83.101916 54.843051)","128"
"POINT (83.100648 54.842583)","91"
"POINT (83.09985 54.84316)","90"
"POINT (83.109911 54.833739)","64"
"POINT (83.10913 54.834175)","65"
"POINT (83.10966 54.834812)","50"
"POINT (83.110738 54.834963)","64"
"POINT (83.111151 54.834615)","64"
"POINT (83.111115 54.8367)","48"
"POINT (83.110378 54.83741)","64"
"POINT (83.112139 54.836565)","64"
"POINT (83.11116 54.837752)","64"
"POINT (83.111959 54.838089)","64"
